winner_id

Match ID: 525195, Team ID : 318, Probabilité de l'équipe ID: 0.25030278620095214
Match ID: 525202, Team ID : 60521, Probabilité de l'équipe ID: 0.9386235879262597
Match ID: 525211, Team ID : 404, Probabilité de l'équipe ID: 0.08739930512037279
Match ID: 525224, Team ID : 652, Probabilité de l'équipe ID: 0.9375610687205261
Match ID: 525225, Team ID : 1567, Probabilité de l'équipe ID: 0.10590459908818187
Match ID: 525226, Team ID : 411, Probabilité de l'équipe ID: 0.741921117205478
Match ID: 525233, Team ID : 1568, Probabilité de l'équipe ID: 0.816785011550286
Match ID: 525238, Team ID : 2574, Probabilité de l'équipe ID: 0.7785768932990775
Match ID: 525259, Team ID : 404, Probabilité de l'équipe ID: 0.41531513006684373
Match ID: 525270, Team ID : 120567, Probabilité de l'équipe ID: 0.19437636051038013
Match ID: 525466, Team ID : 60521, Probabilité de l'équipe ID: 0.9402729077000579
Match ID: 525474, Team ID : 411, Probabilité de l'équipe ID: 0.5041155878492171
Match ID: 525492, Team ID : 408, Probabilité de l'équipe ID: 0.45765451651284506
Match ID: 525506, Team ID : 410, Probabilité de l'équipe ID: 0.1425852556399503
Match ID: 525534, Team ID : 74, Probabilité de l'équipe ID: 0.6104107110451229
Match ID: 525538, Team ID : 2574, Probabilité de l'équipe ID: 0.9403738353306981
Match ID: 525539, Team ID : 408, Probabilité de l'équipe ID: 0.9202732117913932
Match ID: 525540, Team ID : 120567, Probabilité de l'équipe ID: 0.30208326468973495
Match ID: 525541, Team ID : 1566, Probabilité de l'équipe ID: 0.10085769105261817
Match ID: 525542, Team ID : 405, Probabilité de l'équipe ID: 0.47278380663884245
Match ID: 525543, Team ID : 60521, Probabilité de l'équipe ID: 0.9398373742471946
Match ID: 525544, Team ID : 404, Probabilité de l'équipe ID: 0.6476286374847632
Match ID: 525545, Team ID : 2574, Probabilité de l'équipe ID: 0.8142150974161311
Match ID: 532682, Team ID : 156, Probabilité de l'équipe ID: 0.47713519051574504
Match ID: 532684, Team ID : 2884, Probabilité de l'équipe ID: 0.4063353389404024
Match ID: 532686, Team ID : 33, Probabilité de l'équipe ID: 0.42185054583283554
Match ID: 532688, Team ID : 123146, Probabilité de l'équipe ID: 0.27603486653525267
Match ID: 532690, Team ID : 123146, Probabilité de l'équipe ID: 0.37462523428984434
Match ID: 532692, Team ID : 157, Probabilité de l'équipe ID: 0.9271156243209283
Match ID: 532694, Team ID : 157, Probabilité de l'équipe ID: 0.2518929678594215
Match ID: 532696, Team ID : 123146, Probabilité de l'équipe ID: 0.5195331947594459
Match ID: 532698, Team ID : 158, Probabilité de l'équipe ID: 0.3527068248556303
Match ID: 532700, Team ID : 156, Probabilité de l'équipe ID: 0.21493310599963075
Match ID: 532702, Team ID : 2580, Probabilité de l'équipe ID: 0.8163549271214554
Match ID: 532704, Team ID : 2884, Probabilité de l'équipe ID: 0.07580357286049944
Match ID: 532706, Team ID : 365, Probabilité de l'équipe ID: 0.0669794756862812
Match ID: 532708, Team ID : 156, Probabilité de l'équipe ID: 0.919660265743952
Match ID: 532710, Team ID : 123146, Probabilité de l'équipe ID: 0.32183088539560717
Match ID: 532712, Team ID : 123146, Probabilité de l'équipe ID: 0.32276228438379595
Match ID: 532714, Team ID : 158, Probabilité de l'équipe ID: 0.2848957276360823
Match ID: 532716, Team ID : 33, Probabilité de l'équipe ID: 0.7234215088119036
Match ID: 532718, Team ID : 2580, Probabilité de l'équipe ID: 0.875439618395491
